Reading gatttool output from fitupchar.txt
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201004e0c000000000000000000000000000000   b'\x82\x01\x00\x4e\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 820100500c000000000000000000000000000000   b'\x82\x01\x00\x50\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 820100510c000000000000000000000000000000   b'\x82\x01\x00\x51\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 820100530c000000000000000000000000000000   b'\x82\x01\x00\x53\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 820100550c000000000000000000000000000000   b'\x82\x01\x00\x55\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 820100560c000000000000000000000000000000   b'\x82\x01\x00\x56\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 820100580b000000000000000000000000000000   b'\x82\x01\x00\x58\x0b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201005a0b000000000000000000000000000000   b'\x82\x01\x00\x5a\x0b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201005b0b000000000000000000000000000000   b'\x82\x01\x00\x5b\x0b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201005d0b000000000000000000000000000000   b'\x82\x01\x00\x5d\x0b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201005f0b000000000000000000000000000000   b'\x82\x01\x00\x5f\x0b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 820100600b000000000000000000000000000000   b'\x82\x01\x00\x60\x0b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 820100620b000000000000000000000000000000   b'\x82\x01\x00\x62\x0b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
